Подразделение,Магазин ID,Наименование магазина,Бюджет товарооборот,Среднемесячный товарооборот,План золото 2026,Доход золото. Коэффициент 6%,План серебро 2026,Доход серебро. Коэффициент 9%,План Аксессуары 2026,Доход Аксессуары. Коэффициент 6%,План кожа 2026,План кожзам и товары с коэффициентом обуви 
Ростов,11682.0,"Новочеркасск, Ермака пр-т., д. 44",43059547.487499975,3588295.623958331,0.0,0.0,400000.0,36000.0,345422.0624682994,20725.323748097962,465993.1255454219,2376880.43594461
Ростов,11694.0,"Гуково, Карла Маркса ул., д. 53Д",39827877.47000001,3318989.789166668,0.0,0.0,400000.0,36000.0,723321.6830949794,43399.30098569876,458790.49674366426,1736877.6093280246
Краснодар,11724.0,"Краснодар, ТЦ Новый горизонт",56663721.14749999,4721976.762291666,0.0,0.0,400000.0,36000.0,731024.0552126982,43861.44331276189,991443.7000318051,2599509.0070471633
Сочи,11757.0,"Сочи, ТЦ Александрия",76854301.64249997,6404525.136874997,830882.187952426,49852.93127714556,400000.0,36000.0,1143583.880443113,68615.03282658677,1750855.153447921,2279203.915031537
Краснодар,11783.0,"Кущевская, Ленина ул., д. 21",78958096.14500001,6579841.345416668,1045568.9825781799,62734.138954690796,488968.8420105651,44007.19578095086,611867.3327745533,36712.039966473196,966481.7101465453,3466954.477906824
Ростов,11840.0,"Миллерово, ТЦ",42313582.95160239,3526131.9126335327,0.0,0.0,400000.0,36000.0,608725.2635391689,36523.51581235013,597267.6440747341,1920139.0050196296
Черноморское,11858.0,"Изобильный,  Семыкина ул., стр. 17",73797802.64750001,6149816.887291667,1138590.0445743846,68315.40267446307,449732.83855029487,40475.95546952654,991307.6450638856,59478.45870383314,969810.711097906,2600375.6480051964
Кавказ,11869.0,"Владикавказ, ТЦ Столица",69123642.3196453,5760303.526637108,747304.9906425453,44838.29943855271,430415.3246372587,38737.379217353286,956262.2735301305,57375.736411807826,1131985.3773610778,2494335.5604660967
Черноморское,11880.0,"Мостовской, ТЦ Вита",33634955.0825,2802912.923541667,363632.0215441893,21817.921292651357,400000.0,36000.0,375077.2280538374,22504.63368323024,236029.90775693068,1428173.7661867097
Черноморское,11894.0,"Ростов-на-Дону, ТЦ Таллер",55065882.57709468,4588823.548091223,0.0,0.0,400000.0,36000.0,815887.6208626747,48953.25725176048,726051.8234918847,2646884.1037366637
Ростов,11895.0,"Новошахтинск, ТЦ Городок",56769053.09499996,4730754.42458333,669250.5577503712,40155.03346502227,400000.0,36000.0,742385.9073304211,44543.154439825266,763938.4377126794,2155179.521789858
Кавказ,11903.0,"Михайловск, Ленина ул., д. 87",131684832.04249984,10973736.003541654,1635575.0347786106,98134.50208671663,711012.9681812116,63991.16713630904,1342115.6680932662,80526.94008559597,1985501.4354129615,5299530.897075605
Крым,11904.0,"Ростов-на-Дону, ТРЦ ЖК Суворовский",100846176.70750007,8403848.058958339,1090261.5749360807,65415.69449616484,400000.0,36000.0,1388342.4265858135,83300.54559514881,1150352.0481327558,4374892.009303688
Краснодар,11913.0,"Краснодар,  Восточно-Кругликовская ул., дом 26",55861899.80249997,4655158.316874998,0.0,0.0,400000.0,36000.0,1046140.7739381073,62768.44643628644,748804.2869318546,2460213.2560050357
Краснодар,11949.0,"Краснодар, ТЦ WestMall",80987903.85999995,6748991.98833333,0.0,0.0,400000.0,36000.0,1038084.5841224857,62285.07504734914,1127866.3339149773,4183041.0702958666
Краснодар,11972.0,"Приморско-Ахтарск, Космонавтов ул., д. 61",43618414.9125,3634867.9093750003,1118003.8764125546,67080.23258475328,400000.0,36000.0,400187.2420790635,24011.23452474381,433779.06975523254,1282897.7211281494
